event_date,new,retained,total,app::multi-filter
2017-02-22,4909,24695,29604,Toonstv
2017-02-22,93,50,143,abactionchina_49cba9cb
2017-02-22,1552,4341,5893,AngryBirdsStarWarsFull
2017-02-22,649,5198,5847,AngryBirdsClassicLight
2017-02-22,33,173,206,toonstvappletv_7c3cb333
2017-02-22,1011,3865,4876,BlueSteel
2017-02-22,88,220,308,PurpleChina
2017-02-22,3010,10264,13274,AngryBirdsClassic
2017-02-22,542,269,811,toonstvkidoz_c161558
2017-02-22,196,201,397,abactionchinaandroid_1d7ba513
2017-02-22,173,925,1098,AngryBirdsStarWarsLight
2017-02-22,,1,1,abbakunluniosgpchina_1fffd0c2
2017-02-22,76,812,888,badpiggiesodyssey_38481962
2017-02-22,137,330,467,popcorn_7901fbf5
2017-01-31,1352,3089,4441,Yellow
2017-01-31,220,455,675,PurpleChina
2017-01-31,172,420,592,popcorn_7901fbf5
2017-01-31,1154,3575,4729,BlueSteel
2017-01-31,130,923,1053,Purple
2017-01-31,835,604,1439,toonstvkidoz_c161558
2017-01-31,1877,6587,8464,Crimson
2017-01-31,4024,6000,10024,Abba
2017-01-31,68,581,649,BadPiggiesLight
2017-01-31,1224,3578,4802,AngryBirdsFriends
2017-01-31,2045,4770,6815,AngryBirdsStarWarsFull
2017-01-31,12,81,93,ChannelAngryBirdsRoost
2017-01-31,74,496,570,AngryBirdsSpaceLight
2017-01-31,4708,363,5071,ChannelWeb
2017-01-31,636,1162,1798,AngryBirdsClassicTalkweb
2017-01-31,1396,4455,5851,BadPiggiesFull
2017-01-31,2047,11185,13232,ChannelSmartTv
2017-01-31,625,5389,6014,AngryBirdsClassicLight
2017-01-31,3308,116,3424,rovio_3bb4586d
2017-01-31,291,2546,2837,ChannelRoku
2017-01-31,5013,23667,28680,Toonstv
2017-01-31,196,191,387,angrybirdsfortumo_7bf816e1
2017-01-31,4538,11211,15749,AngryBirdsRioFull
2017-01-31,36,184,220,toonstvappletv_7c3cb333
2017-01-31,145,974,1119,AngryBirdsStarWarsLight
2017-01-31,919,452,1371,abactionchinaandroid_1d7ba513
2017-01-31,4039,11553,15592,AngryBirdsClassic
2017-01-31,1026,2304,3330,AngryBirdsSeasonsFull
2017-01-31,202,592,794,Birdkeeper
2017-01-31,480,1579,2059,toonstvmade4samsung_6d2a0fc4
2017-01-31,86,118,204,abactionchina_49cba9cb
2017-01-31,11,26,37,tntgame_149fb4d3
2017-01-31,93,672,765,purpleamazonfire_74641a18
2017-01-31,4275,7333,11608,AngryBirdsSpaceFull
2017-01-31,864,2241,3105,Gold
2017-01-31,5,8,13,abbakunluniosgpchina_1fffd0c2
2017-01-31,79,811,890,badpiggiesodyssey_38481962
2017-01-23,3035,147,3182,rovio_3bb4586d
2017-01-23,199,1060,1259,AngryBirdsStarWarsLight
2017-01-23,2037,11124,13161,ChannelSmartTv
2017-01-23,141,891,1032,Purple
2017-01-23,90,772,862,badpiggiesodyssey_38481962
2017-01-23,4843,11093,15936,AngryBirdsRioFull
2017-01-23,9277,8273,17550,AngryBirdsSpaceFull
2017-01-23,728,5525,6253,AngryBirdsClassicLight
2017-01-23,5119,415,5534,ChannelWeb
2017-01-23,1347,4340,5687,BadPiggiesFull
2017-01-23,934,2182,3116,Gold
2017-01-23,88,508,596,AngryBirdsSpaceLight
2017-01-23,5476,24525,30001,Toonstv
2017-01-23,,1,1,abbafortumo_6df226f7
2017-01-23,157,348,505,popcorn_7901fbf5
2017-01-23,1660,3279,4939,Yellow
2017-01-23,81,81,162,abactionchina_49cba9cb
2017-01-23,310,2600,2910,ChannelRoku
2017-01-23,13,79,92,ChannelAngryBirdsRoost
2017-01-23,195,617,812,Birdkeeper
2017-01-23,572,341,913,abactionchinaandroid_1d7ba513
2017-01-23,128,653,781,purpleamazonfire_74641a18
2017-01-23,2144,6953,9097,Crimson
2017-01-23,4685,6168,10853,Abba
2017-01-23,164,378,542,PurpleChina
2017-01-23,1,10,11,abbakunluniosgpchina_1fffd0c2
2017-01-23,519,1590,2109,toonstvmade4samsung_6d2a0fc4
2017-01-23,890,2272,3162,AngryBirdsSeasonsFull
2017-01-23,1113,3163,4276,AngryBirdsFriends
2017-01-23,2081,4651,6732,AngryBirdsStarWarsFull
2017-01-23,48,208,256,toonstvappletv_7c3cb333
